Date,New,New sum,Deaths,Death sum
19 Feb 2020,2,2,2,2
20 Feb 2020,3,5,0,2
21 Feb 2020,13,18,2,4
22 Feb 2020,10,28,2,6
23 Feb 2020,15,43,2,8
24 Feb 2020,18,61,4,12
25 Feb 2020,34,95,4,16
26 Feb 2020,44,139,3,19
27 Feb 2020,106,245,7,26
28 Feb 2020,143,388,8,34
29 Feb 2020,205,593,9,43
1 Mar 2020,385,978,11,54
2 Mar 2020,523,1501,12,66
3 Mar 2020,835,2336,11,77
4 Mar 2020,586,2922,15,92
5 Mar 2020,591,3513,15,107
6 Mar 2020,1234,4747,17,124
7 Mar 2020,1076,5823,21,145
8 Mar 2020,743,6566,49,194
9 Mar 2020,595,7161,43,237
10 Mar 2020,881,8042,54,291
11 Mar 2020,958,9000,63,354
12 Mar 2020,1075,10075,75,429
13 Mar 2020,1289,11364,85,514
14 Mar 2020,1365,12729,97,611
15 Mar 2020,1209,13938,113,724
16 Mar 2020,1053,14991,129,853
17 Mar 2020,1178,16169,135,988
18 Mar 2020,1192,17361,147,1135
19 Mar 2020,1046,18407,149,1284
20 Mar 2020,1237,19644,149,1433
21 Mar 2020,966,20610,123,1556
22 Mar 2020,1028,21638,129,1685
23 Mar 2020,1411,23049,127,1812
24 Mar 2020,1762,24811,123,1934
25 Mar 2020,2206,27017,143,2077
26 Mar 2020,2389,29406,157,2234
27 Mar 2020,2926,32332,144,2378
28 Mar 2020,3076,35408,139,2517
29 Mar 2020,2901,38309,123,2640
30 Mar 2020,3186,41495,117,2757
31 Mar 2020,3111,44606,141,2898
1 Apr 2020,2987,47593,138,3036
2 Apr 2020,2875,50468,124,3160
3 Apr 2020,2715,53183,134,3294
4 Apr 2020,2560,55743,158,3452
5 Apr 2020,2483,58226,151,3603
6 Apr 2020,2274,60500,136,3739
7 Apr 2020,2089,62589,133,3872
8 Apr 2020,1997,64586,121,3993
9 Apr 2020,1643,66220,117,4110
10 Apr 2020,1972,68192,122,4232
11 Apr 2020,1837,70029,125,4357
12 Apr 2020,1657,71686,117,4474
13 Apr 2020,1617,73303,111,4585
14 Apr 2020,1574,74877,98,4683
15 Apr 2020,1512,76389,94,4777
16 Apr 2020,1606,77995,92,4869
17 Apr 2020,1499,79494,89,4958
18 Apr 2020,1374,80868,73,5031
19 Apr 2020,1343,82211,87,5118
20 Apr 2020,1294,83505,91,5209
21 Apr 2020,1297,84802,88,5297
22 Apr 2020,1194,85996,94,5391
23 Apr 2020,1030,87026,90,5481
24 Apr 2020,1168,88194,93,5574
25 Apr 2020,1134,89328,76,5650
26 Apr 2020,1153,90481,60,5710
27 Apr 2020,991,91472,96,5806
28 Apr 2020,1112,92584,71,5877
29 Apr 2020,1073,93657,80,5957
30 Apr 2020,983,94640,71,6028
1 May 2020,1006,95646,63,6091
2 May 2020,802,96448,65,6156
3 May 2020,976,97424,47,6203
4 May 2020,1223,98647,74,6277
5 May 2020,1323,99970,63,6340
6 May 2020,1680,101650,78,6418
7 May 2020,1485,103135,68,6486
8 May 2020,1556,104691,55,6541
9 May 2020,1529,106220,48,6589
10 May 2020,1383,107603,51,6640
11 May 2020,1683,109286,45,6685
12 May 2020,1481,110767,48,6733
13 May 2020,1958,112725,50,6783
14 May 2020,1808,114533,71,6854
15 May 2020,2102,116635,48,6902
16 May 2020,1757,118392,35,6937
17 May 2020,1806,120198,51,6988
18 May 2020,2294,122492,69,7057
19 May 2020,2111,124603,62,7119
20 May 2020,2346,126949,64,7183
21 May 2020,2392,129341,66,7249
22 May 2020,2311,131652,51,7300
23 May 2020,1869,133521,59,7359
24 May 2020,2180,135701,58,7417
25 May 2020,2023,137724,34,7451
26 May 2020,1787,139511,57,7508
27 May 2020,2080,141591,56,7564
28 May 2020,2258,143849,63,7627
29 May 2020,2819,146668,50,7677
30 May 2020,2282,148950,57,7734
31 May 2020,2516,151466,63,7797
1 Jun 2020,2979,154445,81,7878
2 Jun 2020,3117,157562,64,7942
3 Jun 2020,3134,160696,70,8012
4 Jun 2020,3574,164270,59,8081
5 Jun 2020,2886,167156,63,8134
6 Jun 2020,2269,169425,75,8209
7 Jun 2020,2364,171789,72,8281
8 Jun 2020,2043,173832,70,8351
9 Jun 2020,2095,175927,74,8425
10 Jun 2020,2011,177938,81,8506
11 Jun 2020,2218,180156,78,8584
12 Jun 2020,2369,182525,75,8659
13 Jun 2020,2410,184955,71,8730
14 Jun 2020,2472,187427,107,8837
